ICCAT Serial Number,Country,Reg.Number,Name of FFB,Location,Capacity (t),cleaned_locations
ATEU1GRC00001,Greece,GR 01/2004,AVRAMAR AQUACULTURE S.A.,"ECHINADES ISLANDS, PREFECTURE OF KEFALLONIA - ITHAKI ISLANDS",1000.0,"[""ECHINADES ISLANDS, PREFECTURE OF KEFALLONIA - ITHAKI ISLANDS""]"
ATEU1ITA00005,Italy,ITA-FAR005,PESCAZZURRA S.R.L.,MILAZZO (ME),0.0,"[""MILAZZO (ME)""]"
ATEU1ITA00006,Italy,ITA-FAR006,Societa' Cooperativa Pescatori Cala Bianca,"Marina di Camerota (SA) PUNTO 1: LAT: 39°57,903' N LONG: 15°21,295' E PUNTO 2: LAT: 39°57,903'N LONG: 15°21,045' E PUNTO 3: LAT: 39°58,000' N LONG: 15°21,295' E PUNTO 4: LAT: 39°58,000' N LONG: 15°21,045' E",0.0,"[{""lat"": 39.96505, ""lon"": 15.354917}, {""lat"": 39.96505, ""lon"": 15.35075}, {""lat"": 39.966667, ""lon"": 15.354917}, {""lat"": 39.966667, ""lon"": 15.35075}]"
ATEU1ITA00007,Italy,ITA-FAR007,SOC. ITTICA TRAPPETO A.R.L.,TRAPPETO (PA),0.0,"[""TRAPPETO (PA)""]"
ATEU1ITA00015,Italy,ITA-FAR015,LA FAVORITA SNC,"ERCOLANO (NA) PUNTO 1: LAT: 40°47'10.2209"" N LONG: 14°19'57.2993"" E PUNTO 2: LAT: 40°47'14.7861"" N LONG: 14°20'03.9480"" E PUNTO 3: LAT: 40°47'19.8395"" N LONG: 14°19'57.9417"" E PUNTO 4: LAT: 40°47'15.2744"" N LONG: 14°19'51.2930"" E",0.0,"[{""lat"": 40.786172, ""lon"": 14.332583}, {""lat"": 40.787441, ""lon"": 14.33443}, {""lat"": 40.788844, ""lon"": 14.332762}, {""lat"": 40.787576, ""lon"": 14.330915}]"
ATEU1ITA00016,Italy,ITA-FAR016,Ittica Offshore del Tirreno S.p.a.,POZZUOILI (NA),0.0,"[""POZZUOILI (NA)""]"
ATEU1ITA00017,Italy,ITA-FAR017,De.Mo. Pesca di Pasquale della Monica & C. s.a.s.,CETARA (SA),0.0,"[""CETARA (SA)""]"
ATEU1ITA00019,Italy,ITA-FAR-019,Soc. Coop. Pescatori San Francesco di Paola,VIBO VALENTIA (VV),0.0,"[""VIBO VALENTIA (VV)""]"
ATEU1ITA00021,Italy,ITA-FAR-021,Tonnare Sulcitane s.r.l.,"Portoscuso (CI) PUNTO 1: LAT: 39°16’45,90’’ N LONG: 008°20’48,00’’ E PUNTO 2: LAT: 39°16’51,62’’ N LONG: 008°20’52,35’’ E PUNTO 3: LAT: 39°16’55,20’’ N LONG: 008°20’44,40’’ E PUNTO 4: LAT: 39°16’49,60’’ N LONG: 008°20’39,90’’ E",160.0,"[{""lat"": 39.279417, ""lon"": 8.346667}, {""lat"": 39.281006, ""lon"": 8.347875}, {""lat"": 39.282, ""lon"": 8.345667}, {""lat"": 39.280444, ""lon"": 8.344417}]"
ATEU1ITA00022,Italy,ITA-FAR-022,DG PESCA 1,Roma (RM),3010.0,"[""Roma (RM)""]"
ATEU1ITA00023,Italy,ITA-FAR-023,DG PESCA 2,Roma (RM),3010.0,"[""Roma (RM)""]"
ATEU1ITA00024,Italy,ITA-FAR-024,DG PESCA 3,Roma (RM),2710.0,"[""Roma (RM)""]"
ATEU1ITA00025,Italy,ITA-FAR-025,DG PESCA 4,Roma (RM),2710.0,"[""Roma (RM)""]"
ATEU1ITA00020,Italy,ITA-FAR-020,Orizon AcquaBios Italia s.a.r.l.,SALINE DI MONTEBELLO JONICO (RC),1400.0,"[""SALINE DI MONTEBELLO JONICO (RC)""]"
ATEU1MLT00007,Malta,MF29F,Ta' Mattew Fisheries Ltd,35.8784 (N) 14.6600 (E) 35.8785 (N) 14.6770 (E) 35.8640 (N) 14.6770 (E) 35.8640 (N) 14.6600 (E),707.0,"[{""lat"": 35.8784, ""lon"": 14.66}, {""lat"": 35.8785, ""lon"": 14.677}, {""lat"": 35.864, ""lon"": 14.677}, {""lat"": 35.864, ""lon"": 14.66}]"
