year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2008,10,4,各地,28.2,7770.0,4858.0,1890,113,247,2008-10-4
2008,10,5,各地,22.6,11550.0,5243.0,1050,90,248,2008-10-5
2008,11,1,各地,27.2,10500.0,4707.0,1155,109,249,2008-11-1
2008,11,2,各地,31.8,12075.0,5743.0,1365,127,250,2008-11-2
2008,11,3,各地,35.2,9975.0,4483.0,1365,141,251,2008-11-3
2008,11,4,各地,29.2,11025.0,5496.0,840,117,252,2008-11-4
2008,12,1,各地,31.2,13440.0,4848.0,1890,125,253,2008-12-1
2008,12,2,各地,38.3,15750.0,6007.0,2310,153,254,2008-12-2
2008,12,3,各地,36.6,12075.0,5430.0,2625,146,255,2008-12-3
2008,12,4,各地,50.4,23100.0,6704.0,1575,202,256,2008-12-4
2009,1,1,各地,44.5,78750.0,7261.0,2625,178,257,2009-01-1
2009,1,2,各地,33.1,11550.0,6374.0,1575,132,258,2009-01-2
2009,1,3,各地,30.1,11550.0,5913.0,2100,120,259,2009-01-3
2009,1,4,各地,29.2,16800.0,6126.0,2625,117,260,2009-01-4
2009,2,1,各地,29.6,15225.0,5558.0,1890,118,261,2009-02-1
2009,2,2,各地,31.5,16800.0,6325.0,1890,126,262,2009-02-2
2009,2,3,各地,28.5,19425.0,6587.0,3150,114,263,2009-02-3
2009,2,4,各地,29.9,21000.0,6018.0,1890,120,264,2009-02-4
2009,3,1,各地,34.9,16800.0,5026.0,1890,140,265,2009-03-1
2009,3,2,各地,39.3,12600.0,4762.0,1890,157,266,2009-03-2
2009,3,3,各地,30.5,15225.0,5490.0,1785,122,267,2009-03-3
2009,3,4,各地,36.6,12600.0,4060.0,1575,146,268,2009-03-4
2009,4,1,各地,32.4,14175.0,5373.0,2100,130,269,2009-04-1
2009,4,2,各地,35.2,13650.0,4520.0,1890,141,270,2009-04-2
2009,4,3,各地,30.4,12075.0,5689.0,2100,122,271,2009-04-3
2009,4,4,各地,29.9,12075.0,5540.0,1785,120,272,2009-04-4
2009,4,5,各地,30.9,11550.0,5345.0,840,124,273,2009-04-5
2009,5,1,各地,36.1,13125.0,5349.0,2100,144,274,2009-05-1
2009,5,2,各地,37.1,10500.0,4646.0,1575,148,275,2009-05-2
2009,5,3,各地,28.3,9450.0,3803.0,1260,113,276,2009-05-3
2009,5,4,各地,31.6,10500.0,3379.0,1050,126,277,2009-05-4
2009,6,1,各地,31.7,10185.0,3155.0,1260,127,278,2009-06-1
2009,6,2,各地,39.5,7350.0,2513.0,1050,158,279,2009-06-2
2009,6,3,各地,27.3,8400.0,3124.0,1260,109,280,2009-06-3
2009,6,4,各地,26.6,12075.0,3367.0,1575,106,281,2009-06-4
2009,7,1,各地,30.6,9450.0,2802.0,1575,122,282,2009-07-1
2009,7,2,各地,30.9,14175.0,3150.0,1050,124,283,2009-07-2
2009,7,3,各地,28.9,16275.0,3288.0,1365,116,284,2009-07-3
2009,7,4,各地,39.3,8400.0,3074.0,735,157,285,2009-07-4
2009,7,5,各地,25.3,14700.0,3381.0,1050,101,286,2009-07-5
2009,8,1,各地,29.6,9765.0,4158.0,1575,118,287,2009-08-1
2009,8,2,各地,38.3,9450.0,3515.0,1050,153,288,2009-08-2
2009,8,3,各地,42.2,14700.0,3634.0,1050,169,289,2009-08-3
2009,8,4,各地,38.1,7560.0,2596.0,525,152,290,2009-08-4
2009,9,1,各地,26.7,6510.0,2549.0,1365,107,291,2009-09-1
2009,9,2,各地,27.1,8925.0,3614.0,1575,108,292,2009-09-2
2009,9,3,各地,32.1,8190.0,3626.0,945,128,293,2009-09-3
2009,9,4,各地,38.5,8925.0,4391.0,2100,154,294,2009-09-4
2009,10,1,各地,24.9,9450.0,4536.0,1575,100,295,2009-10-1
2009,10,2,各地,32.1,11550.0,5141.0,1575,128,296,2009-10-2
2009,10,3,各地,32.5,11025.0,4318.0,1575,130,297,2009-10-3
2009,10,4,各地,29.8,13650.0,5988.0,1575,119,298,2009-10-4
2009,10,5,各地,28.4,13125.0,4552.0,1575,114,299,2009-10-5
2009,11,1,各地,36.2,13650.0,5836.0,2625,145,300,2009-11-1
2009,11,2,各地,37.3,10500.0,4614.0,1575,149,301,2009-11-2
2009,11,3,各地,27.5,17325.0,6652.0,2625,110,302,2009-11-3
2009,11,4,各地,32.4,16800.0,7066.0,2625,130,303,2009-11-4
2009,12,1,各地,34.2,8400.0,5011.0,2310,137,304,2009-12-1
